"sort_order","recipe_key","zh_name","en_name","cuisine_key","meal_type","difficulty","total_minutes","minimum_required_ingredients","target_tutorial_step_range","recipe_steps_status","tutorial_steps_status","needs_review","notes"
"62","tuna_cucumber_sandwich","金枪鱼黄瓜三明治","Tuna Cucumber Sandwich","western_simple","sandwich_wrap","beginner","10","bread, canned_tuna, cucumber","4-6","todo","todo","false",""
"63","egg_tomato_sandwich","鸡蛋番茄三明治","Egg Tomato Sandwich","western_simple","sandwich_wrap","beginner","12","bread, egg, tomato","4-6","todo","todo","false",""
"64","chicken_avocado_wrap","鸡胸牛油果卷饼","Chicken Avocado Wrap","western_simple","sandwich_wrap","normal","20","tortilla, chicken_breast, avocado","4-6","todo","todo","false",""
"65","black_bean_corn_wrap","黑豆玉米卷饼","Black Bean Corn Wrap","western_simple","sandwich_wrap","beginner","12","tortilla, canned_black_beans, corn","4-6","todo","todo","false",""
"66","chickpea_cucumber_salad_wrap","鹰嘴豆黄瓜卷饼","Chickpea Cucumber Salad Wrap","western_simple","sandwich_wrap","beginner","12","tortilla, canned_chickpeas, cucumber","4-6","todo","todo","false",""
"67","salmon_potato_plate","三文鱼土豆盘","Salmon Potato Plate","western_simple","air_fryer","normal","30","salmon, potato, broccoli","4-6","todo","todo","false",""
"68","cod_tomato_pan","番茄鳕鱼锅","Cod Tomato Pan","western_simple","stir_fry","normal","25","cod, canned_tomato, onion","8-14","todo","todo","false",""
"69","turkey_mushroom_pasta","火鸡蘑菇意面","Turkey Mushroom Pasta","western_simple","pasta","normal","30","pasta, ground_turkey, mushroom, pasta_sauce","8-14","todo","todo","false",""
"70","sausage_pepper_tortilla","香肠彩椒卷饼","Sausage Pepper Tortilla","western_simple","sandwich_wrap","normal","20","tortilla, sausage, bell_pepper, onion","4-6","todo","todo","false",""
"71","banana_oat_pancake","香蕉燕麦煎饼","Banana Oat Pancake","western_simple","breakfast","beginner","15","banana, oats, egg","4-6","todo","todo","false",""
"72","apple_oat_bowl","苹果燕麦碗","Apple Oat Bowl","western_simple","microwave","beginner","8","oats, apple","4-6","todo","todo","false",""
"73","berry_granola_bowl","浆果格兰诺拉碗","Berry Granola Bowl","western_simple","salad_light","beginner","5","granola, berries","4-6","todo","todo","false",""
"74","peanut_butter_apple_oats","花生酱苹果燕麦","Peanut Butter Apple Oats","western_simple","microwave","beginner","8","oats, apple, peanut_butter","4-6","todo","todo","false",""
"75","sweet_potato_egg_hash","红薯鸡蛋早餐锅","Sweet Potato Egg Hash","western_simple","breakfast","normal","25","sweet_potato, egg, onion","4-6","todo","todo","false",""
"76","avocado_egg_bread","牛油果鸡蛋面包","Avocado Egg Bread","western_simple","breakfast","beginner","12","bread, avocado, egg","4-6","todo","todo","false",""
"77","mango_oat_smoothie_bowl","芒果燕麦奶昔碗","Mango Oat Smoothie Bowl","western_simple","blender_breakfast","beginner","8","oats, mango, banana","4-6","todo","todo","false",""
"78","egg_corn_cucumber_salad","鸡蛋玉米黄瓜沙拉","Egg Corn Cucumber Salad","chinese_home","salad_light","beginner","10","egg, corn, cucumber","4-6","todo","todo","false",""
"79","tuna_apple_salad_bread","金枪鱼苹果沙拉配面包","Tuna Apple Salad Bread","western_simple","salad_light","beginner","10","canned_tuna, apple, bread","4-6","todo","todo","false",""
"80","mixed_nuts_fruit_toast","坚果水果吐司","Mixed Nuts Fruit Toast","western_simple","sandwich_wrap","beginner","7","bread, banana, mixed_nuts","4-6","todo","todo","false",""
"81","tomato_tofu_soup","番茄豆腐蛋汤","Tomato Tofu Egg Soup","chinese_home","soup_stew","beginner","18","tomato, tofu, egg","8-14","todo","todo","false",""
"82","cabbage_pork_soup","卷心菜肉片汤","Cabbage Pork Soup","chinese_home","soup_stew","normal","30","cabbage, pork_slice, ginger","8-14","todo","todo","false",""
"83","chicken_corn_potato_soup","鸡肉玉米土豆汤","Chicken Corn Potato Soup","western_simple","soup_stew","normal","35","chicken_thigh, potato, corn","12-18","todo","todo","false",""
"84","chickpea_tomato_stew","鹰嘴豆番茄炖菜","Chickpea Tomato Stew","western_simple","soup_stew","beginner","25","canned_chickpeas, canned_tomato, onion","8-14","todo","todo","false",""
"85","white_fish_tofu_soup","白鱼豆腐汤","White Fish Tofu Soup","cantonese","soup_stew","normal","25","white_fish, tofu, ginger","8-14","todo","todo","false",""
"86","shrimp_corn_egg_soup","虾仁玉米蛋花汤","Shrimp Corn Egg Soup","huaiyang","soup_stew","beginner","18","shrimp, corn, egg","8-14","todo","todo","false",""
"87","beef_potato_carrot_stew","牛腱土豆胡萝卜汤","Beef Potato Carrot Stew","shandong","soup_stew","confident","60","beef_shank, potato, carrot, onion","12-18","todo","todo","false",""
"88","curry_tofu_vegetable_stew","咖喱豆腐蔬菜煲","Curry Tofu Vegetable Stew","western_simple","soup_stew","beginner","30","tofu, potato, curry_blocks","8-14","todo","todo","false",""
"89","pumpkin_chickpea_soup","南瓜鹰嘴豆汤","Pumpkin Chickpea Soup","western_simple","soup_stew","normal","35","pumpkin, canned_chickpeas, onion","12-18","todo","todo","false",""
"90","winter_melon_shrimp_soup","冬瓜虾仁汤","Winter Melon Shrimp Soup","huaiyang","soup_stew","normal","30","winter_melon, shrimp, ginger","8-14","todo","todo","false",""
"91","fridge_cleanout_fried_rice","冰箱清理炒饭","Fridge Cleanout Fried Rice","chinese_home","fridge_cleanout","beginner","18","rice, egg, frozen_mixed_vegetables","4-6","todo","todo","false",""
"92","frozen_broccoli_chicken_bowl","冷冻西兰花鸡胸饭","Frozen Broccoli Chicken Bowl","chinese_home","rice_bowl","beginner","25","rice, chicken_breast, frozen_broccoli","8-14","todo","todo","false",""
"93","canned_tomato_pasta_cleanout","罐头番茄清冰箱意面","Canned Tomato Cleanout Pasta","western_simple","pasta","beginner","20","pasta, canned_tomato, onion","8-14","todo","todo","false",""
"94","frozen_spinach_egg_noodles","冷冻菠菜鸡蛋面","Frozen Spinach Egg Noodles","chinese_home","noodle","beginner","15","noodles, frozen_spinach, egg","8-14","todo","todo","false",""
"95","tortilla_breakfast_wrap","冷冻蔬菜鸡蛋卷饼","Frozen Vegetable Egg Breakfast Wrap","western_simple","sandwich_wrap","beginner","12","tortilla, egg, frozen_mixed_vegetables","4-6","todo","todo","false",""
"96","canned_black_bean_rice_bowl","黑豆玉米饭碗","Black Bean Corn Rice Bowl","western_simple","rice_bowl","beginner","18","rice, canned_black_beans, canned_corn","8-14","todo","todo","false",""
"97","tofu_frozen_pea_curry_rice","豆腐冷冻豌豆咖喱饭","Tofu Frozen Pea Curry Rice","western_simple","rice_bowl","beginner","30","rice, tofu, frozen_peas, curry_blocks","8-14","todo","todo","false",""
"98","one_pot_udon_cleanout","一锅清冰箱乌冬","One Pot Cleanout Udon","chinese_home","fridge_cleanout","beginner","20","udon_noodles, frozen_mixed_vegetables, egg","4-6","todo","todo","false",""
"99","tomato_mushroom_toast","番茄蘑菇烤吐司","Tomato Mushroom Toast","western_simple","sandwich_wrap","beginner","12","bread, tomato_paste, mushroom","4-6","todo","todo","false",""
"100","microwave_sweet_potato_tuna","微波红薯金枪鱼","Microwave Sweet Potato Tuna","western_simple","microwave","beginner","12","sweet_potato, canned_tuna, corn","4-6","todo","todo","false",""
"101","onion_egg_stir_fry","洋葱炒蛋","Onion Egg Stir Fry","chinese_home","stir_fry","beginner","12","onion, egg","4-6","todo","todo","false",""
"102","carrot_egg_stir_fry","胡萝卜炒蛋","Carrot Egg Stir Fry","chinese_home","stir_fry","beginner","15","carrot, egg","4-6","todo","todo","false",""
"103","broccoli_egg_stir_fry","西兰花炒蛋","Broccoli Egg Stir Fry","chinese_home","stir_fry","beginner","16","broccoli, egg","8-14","todo","todo","false",""
"104","tomato_cabbage_egg","番茄卷心菜炒蛋","Tomato Cabbage Egg Stir Fry","chinese_home","stir_fry","beginner","18","tomato, cabbage, egg","8-14","todo","todo","false",""
"105","garlic_cauliflower","蒜香花椰菜","Garlic Cauliflower","chinese_home","side","beginner","15","cauliflower, garlic","4-6","todo","todo","false",""
"106","mushroom_egg_stir_fry","蘑菇炒蛋","Mushroom Egg Stir Fry","chinese_home","stir_fry","beginner","14","mushroom, egg","4-6","todo","todo","false",""
"107","pan_fried_scallion_tofu","葱香煎豆腐","Pan Fried Scallion Tofu","chinese_home","stir_fry","beginner","18","tofu, scallion","8-14","todo","todo","false",""
"108","soy_sauce_tofu_rice_bowl","酱油豆腐盖饭","Soy Sauce Tofu Rice Bowl","chinese_home","rice_bowl","beginner","18","rice, tofu, scallion","8-14","todo","todo","false",""
"109","tomato_tofu_rice_bowl","番茄豆腐盖饭","Tomato Tofu Rice Bowl","chinese_home","rice_bowl","beginner","22","rice, tomato, tofu","8-14","todo","todo","false",""
"110","ground_pork_tofu_rice_bowl","肉末豆腐盖饭","Ground Pork Tofu Rice Bowl","chinese_home","rice_bowl","normal","25","rice, ground_pork, tofu","8-14","todo","todo","false",""
"111","ground_beef_potato_stir_fry","牛肉碎炒土豆丁","Ground Beef Potato Stir Fry","chinese_home","stir_fry","normal","25","ground_beef, potato, onion","8-14","todo","todo","false",""
"112","chicken_thigh_onion_stir_fry","洋葱鸡腿肉","Chicken Thigh Onion Stir Fry","chinese_home","stir_fry","normal","25","chicken_thigh, onion","8-14","todo","todo","false",""
"113","tomato_chicken_breast","番茄鸡胸肉","Tomato Chicken Breast","chinese_home","stir_fry","normal","22","chicken_breast, tomato","8-14","todo","todo","false",""
"114","cucumber_chicken_breast","黄瓜鸡胸肉","Cucumber Chicken Breast Stir Fry","chinese_home","stir_fry","normal","18","chicken_breast, cucumber","8-14","todo","todo","false",""
"115","bell_pepper_pork_slice","彩椒猪肉片","Bell Pepper Pork Slice","chinese_home","stir_fry","normal","22","pork_slice, bell_pepper, onion","8-14","todo","todo","false",""
"116","bell_pepper_beef_slice","彩椒牛肉片","Bell Pepper Beef Slice","chinese_home","stir_fry","normal","20","beef_slice, bell_pepper","8-14","todo","todo","false",""
"117","shrimp_cucumber_stir_fry","黄瓜虾仁","Shrimp Cucumber Stir Fry","cantonese","stir_fry","beginner","16","shrimp, cucumber","8-14","todo","todo","false",""
"118","shrimp_cabbage_stir_fry","虾仁炒卷心菜","Shrimp Cabbage Stir Fry","chinese_home","stir_fry","beginner","18","shrimp, cabbage, garlic","8-14","todo","todo","false",""
"119","white_fish_tomato_tofu_pan","番茄豆腐白鱼","White Fish Tomato Tofu Pan","cantonese","stir_fry","normal","25","white_fish, tomato, tofu","8-14","todo","todo","false",""
"120","canned_tuna_cabbage_stir_fry","金枪鱼炒卷心菜","Tuna Cabbage Stir Fry","chinese_home","stir_fry","beginner","15","canned_tuna, cabbage","4-6","todo","todo","false",""
"121","bacon_cabbage_stir_fry","培根炒卷心菜","Bacon Cabbage Stir Fry","western_simple","stir_fry","beginner","15","bacon, cabbage","4-6","todo","todo","false",""
"122","sausage_potato_pan","香肠土豆锅","Sausage Potato Pan","western_simple","stir_fry","normal","25","sausage, potato, onion","8-14","todo","todo","false",""
"123","ground_turkey_tomato_egg","火鸡碎番茄蛋","Ground Turkey Tomato Egg","chinese_home","stir_fry","normal","22","ground_turkey, tomato, egg","8-14","todo","todo","false",""
"124","edamame_egg_fried_rice","毛豆鸡蛋炒饭","Edamame Egg Fried Rice","chinese_home","fried_rice","beginner","16","rice, edamame, egg","8-14","todo","todo","false",""
"125","carrot_pea_fried_rice","胡萝卜豌豆炒饭","Carrot Pea Fried Rice","chinese_home","fried_rice","beginner","15","rice, carrot, peas","8-14","todo","todo","false",""
"126","broccoli_egg_fried_rice","西兰花鸡蛋炒饭","Broccoli Egg Fried Rice","chinese_home","fried_rice","beginner","18","rice, broccoli, egg","8-14","todo","todo","false",""
"127","cabbage_egg_noodles","卷心菜鸡蛋面","Cabbage Egg Noodles","chinese_home","noodle","beginner","16","noodles, cabbage, egg","8-14","todo","todo","false",""
"128","tomato_tofu_noodles","番茄豆腐面","Tomato Tofu Noodles","chinese_home","noodle","beginner","18","noodles, tomato, tofu","8-14","todo","todo","false",""
"129","mushroom_pork_noodles","蘑菇肉片面","Mushroom Pork Noodles","chinese_home","noodle","normal","22","noodles, pork_slice, mushroom","8-14","todo","todo","false",""
"130","beef_spinach_noodles","牛肉菠菜面","Beef Spinach Noodles","chinese_home","noodle","normal","22","noodles, beef_slice, spinach","8-14","todo","todo","false",""
"131","shrimp_spinach_noodles","虾仁菠菜面","Shrimp Spinach Noodles","cantonese","noodle","beginner","18","noodles, shrimp, spinach","8-14","todo","todo","false",""
"132","tuna_corn_noodles","金枪鱼玉米拌面","Tuna Corn Noodles","western_simple","noodle","beginner","14","noodles, canned_tuna, corn","8-14","todo","todo","false",""
"133","cabbage_carrot_ramen","卷心菜胡萝卜拉面","Cabbage Carrot Ramen","chinese_home","noodle","beginner","12","ramen_noodles, cabbage, carrot","8-14","todo","todo","false",""
"134","tofu_mushroom_udon","豆腐蘑菇乌冬","Tofu Mushroom Udon","chinese_home","noodle","beginner","18","udon_noodles, tofu, mushroom","8-14","todo","todo","false",""
"135","potato_egg_rice_bowl","土豆鸡蛋盖饭","Potato Egg Rice Bowl","chinese_home","rice_bowl","beginner","22","rice, potato, egg","8-14","todo","todo","false",""
"136","sweet_potato_egg_bowl","红薯鸡蛋饭碗","Sweet Potato Egg Bowl","western_simple","rice_bowl","beginner","20","rice, sweet_potato, egg","8-14","todo","todo","false",""
"137","tomato_chicken_rice_bowl","番茄鸡肉盖饭","Tomato Chicken Rice Bowl","chinese_home","rice_bowl","normal","25","rice, chicken_breast, tomato","8-14","todo","todo","false",""
"138","cabbage_tofu_rice_bowl","卷心菜豆腐盖饭","Cabbage Tofu Rice Bowl","chinese_home","rice_bowl","beginner","20","rice, cabbage, tofu","8-14","todo","todo","false",""
"139","broccoli_tofu_rice_bowl","西兰花豆腐饭","Broccoli Tofu Rice Bowl","chinese_home","rice_bowl","beginner","22","rice, broccoli, tofu","8-14","todo","todo","false",""
"140","spinach_egg_rice_bowl","菠菜鸡蛋饭","Spinach Egg Rice Bowl","chinese_home","rice_bowl","beginner","15","rice, spinach, egg","8-14","todo","todo","false",""
"141","mushroom_beef_rice_bowl","蘑菇牛肉盖饭","Mushroom Beef Rice Bowl","chinese_home","rice_bowl","normal","25","rice, beef_slice, mushroom","8-14","todo","todo","false",""
"142","onion_pork_rice_bowl","洋葱猪肉盖饭","Onion Pork Rice Bowl","chinese_home","rice_bowl","normal","22","rice, pork_slice, onion","8-14","todo","todo","false",""
"143","scallion_egg_udon","葱花鸡蛋乌冬","Scallion Egg Udon","chinese_home","noodle","beginner","14","udon_noodles, egg, scallion","8-14","todo","todo","false",""
"144","green_bean_chicken","四季豆鸡胸肉","Green Bean Chicken","chinese_home","stir_fry","normal","24","green_beans, chicken_breast, garlic","8-14","todo","todo","false",""
"145","green_bean_beef","四季豆牛肉片","Green Bean Beef","chinese_home","stir_fry","normal","24","green_beans, beef_slice, garlic","8-14","todo","todo","false",""
"146","cauliflower_egg_stir_fry","花椰菜炒蛋","Cauliflower Egg Stir Fry","chinese_home","stir_fry","beginner","18","cauliflower, egg","8-14","todo","todo","false",""
"147","corn_egg_pancake","玉米鸡蛋饼","Corn Egg Pancake","chinese_home","breakfast","beginner","15","corn, egg, flour","4-6","todo","todo","false",""
"148","scallion_flour_pancake","简易葱花饼","Simple Scallion Pancake","chinese_home","breakfast","normal","25","flour, scallion","4-6","todo","todo","false",""
"149","cabbage_egg_pancake","卷心菜鸡蛋饼","Cabbage Egg Pancake","chinese_home","breakfast","beginner","18","cabbage, egg, flour","4-6","todo","todo","false",""
"150","potato_egg_pancake","土豆鸡蛋饼","Potato Egg Pancake","chinese_home","breakfast","normal","22","potato, egg, flour","4-6","todo","todo","false",""
"151","sweet_potato_oat_pancake","红薯燕麦饼","Sweet Potato Oat Pancake","western_simple","breakfast","beginner","20","sweet_potato, oats, egg","4-6","todo","todo","false",""
"152","steamed_egg_custard","家常蒸蛋","Steamed Egg Custard","cantonese","soup_stew","beginner","18","egg","8-14","todo","todo","false",""
"153","microwave_tofu_egg","微波豆腐蒸蛋","Microwave Tofu Egg","chinese_home","microwave","beginner","10","tofu, egg","4-6","todo","todo","false",""
"154","rice_cooker_tomato_rice","电饭煲番茄饭","Rice Cooker Tomato Rice","chinese_home","rice_cooker","beginner","35","rice, tomato, frozen_mixed_vegetables","12-18","todo","todo","false",""
"155","rice_cooker_mushroom_chicken","电饭煲蘑菇鸡肉饭","Rice Cooker Mushroom Chicken Rice","chinese_home","rice_cooker","normal","40","rice, chicken_thigh, mushroom","12-18","todo","todo","false",""
"156","rice_cooker_corn_egg_rice","电饭煲玉米鸡蛋饭","Rice Cooker Corn Egg Rice","chinese_home","rice_cooker","beginner","35","rice, corn, egg","12-18","todo","todo","false",""
"157","bok_choy_noodle_soup","小白菜汤面","Bok Choy Noodle Soup","chinese_home","noodle","beginner","15","noodles, bok_choy","8-14","todo","todo","false",""
"158","miso_tofu_noodles","味噌豆腐面","Miso Tofu Noodles","western_simple","noodle","beginner","18","noodles, tofu, miso","8-14","todo","todo","false",""
