"sort_order","recipe_key","zh_name","en_name","assigned_to","prompt_version","status","local_filename","storage_path","cover_image_url","card_image_url","qa_notes"
"11","pork_cabbage_stir_fry","猪肉片炒卷心菜","Pork Cabbage Stir Fry","主控电脑","food-photo-v1","pending","pork_cabbage_stir_fry_v1.webp","recipe-images/v0.1/pork_cabbage_stir_fry_v1.webp","","",""
"12","shrimp_egg_stir_fry","虾仁滑蛋","Shrimp Egg Stir Fry","同学电脑","food-photo-v1","pending","shrimp_egg_stir_fry_v1.webp","recipe-images/v0.1/shrimp_egg_stir_fry_v1.webp","","",""
"13","white_fish_ginger_scallion","姜葱白鱼","Ginger Scallion White Fish","主控电脑","food-photo-v1","pending","white_fish_ginger_scallion_v1.webp","recipe-images/v0.1/white_fish_ginger_scallion_v1.webp","","",""
"14","tofu_bok_choy","小白菜豆腐","Tofu Bok Choy","同学电脑","food-photo-v1","pending","tofu_bok_choy_v1.webp","recipe-images/v0.1/tofu_bok_choy_v1.webp","","",""
"15","green_beans_ground_pork","肉末四季豆","Ground Pork Green Beans","主控电脑","food-photo-v1","pending","green_beans_ground_pork_v1.webp","recipe-images/v0.1/green_beans_ground_pork_v1.webp","","",""
"16","mapo_tofu_student","留学生版麻婆豆腐","Student Mapo Tofu","同学电脑","food-photo-v1","pending","mapo_tofu_student_v1.webp","recipe-images/v0.1/mapo_tofu_student_v1.webp","","",""
"17","spicy_eggplant_tofu","豆瓣茄子豆腐","Spicy Eggplant Tofu","主控电脑","food-photo-v1","pending","spicy_eggplant_tofu_v1.webp","recipe-images/v0.1/spicy_eggplant_tofu_v1.webp","","",""
"18","celery_beef_slice","芹菜牛肉片","Celery Beef Slice Stir Fry","同学电脑","food-photo-v1","pending","celery_beef_slice_v1.webp","recipe-images/v0.1/celery_beef_slice_v1.webp","","",""
"19","shandong_garlic_cabbage","醋香蒜炒卷心菜","Shandong Vinegar Garlic Cabbage","主控电脑","food-photo-v1","pending","shandong_garlic_cabbage_v1.webp","recipe-images/v0.1/shandong_garlic_cabbage_v1.webp","","",""
"20","huaiyang_tofu_pea_mushroom","豆腐豌豆蘑菇","Huaiyang Tofu Pea Mushroom","同学电脑","food-photo-v1","pending","huaiyang_tofu_pea_mushroom_v1.webp","recipe-images/v0.1/huaiyang_tofu_pea_mushroom_v1.webp","","",""
"21","huaiyang_shrimp_tofu","虾仁豆腐","Huaiyang Shrimp Tofu","主控电脑","food-photo-v1","pending","huaiyang_shrimp_tofu_v1.webp","recipe-images/v0.1/huaiyang_shrimp_tofu_v1.webp","","",""
"22","garlic_spinach","蒜蓉菠菜","Garlic Spinach","同学电脑","food-photo-v1","pending","garlic_spinach_v1.webp","recipe-images/v0.1/garlic_spinach_v1.webp","","",""
"23","cauliflower_ground_turkey","火鸡碎炒花椰菜","Ground Turkey Cauliflower Stir Fry","主控电脑","food-photo-v1","pending","cauliflower_ground_turkey_v1.webp","recipe-images/v0.1/cauliflower_ground_turkey_v1.webp","","",""
"24","cabbage_chicken_thigh","鸡腿肉炒大白菜","Chicken Thigh Napa Cabbage","同学电脑","food-photo-v1","pending","cabbage_chicken_thigh_v1.webp","recipe-images/v0.1/cabbage_chicken_thigh_v1.webp","","",""
"25","carrot_potato_chicken","胡萝卜土豆鸡块","Carrot Potato Chicken","主控电脑","food-photo-v1","pending","carrot_potato_chicken_v1.webp","recipe-images/v0.1/carrot_potato_chicken_v1.webp","","",""
"26","tomato_cauliflower_egg","番茄花菜炒蛋","Tomato Cauliflower Egg","同学电脑","food-photo-v1","pending","tomato_cauliflower_egg_v1.webp","recipe-images/v0.1/tomato_cauliflower_egg_v1.webp","","",""
"27","mushroom_chicken_breast","蘑菇鸡胸肉","Mushroom Chicken Breast","主控电脑","food-photo-v1","pending","mushroom_chicken_breast_v1.webp","recipe-images/v0.1/mushroom_chicken_breast_v1.webp","","",""
"28","shrimp_broccoli_garlic","蒜香虾仁西兰花","Garlic Shrimp Broccoli","同学电脑","food-photo-v1","pending","shrimp_broccoli_garlic_v1.webp","recipe-images/v0.1/shrimp_broccoli_garlic_v1.webp","","",""
"29","cucumber_egg_light_stir","黄瓜炒蛋","Cucumber Egg Stir Fry","主控电脑","food-photo-v1","pending","cucumber_egg_light_stir_v1.webp","recipe-images/v0.1/cucumber_egg_light_stir_v1.webp","","",""
"30","bok_choy_mushroom","小白菜炒蘑菇","Bok Choy Mushroom","同学电脑","food-photo-v1","pending","bok_choy_mushroom_v1.webp","recipe-images/v0.1/bok_choy_mushroom_v1.webp","","",""
"31","spicy_cabbage_tofu","辣油卷心菜豆腐","Chili Oil Cabbage Tofu","主控电脑","food-photo-v1","pending","spicy_cabbage_tofu_v1.webp","recipe-images/v0.1/spicy_cabbage_tofu_v1.webp","","",""
"32","pork_belly_napa_cabbage","五花肉大白菜","Pork Belly Napa Cabbage","同学电脑","food-photo-v1","pending","pork_belly_napa_cabbage_v1.webp","recipe-images/v0.1/pork_belly_napa_cabbage_v1.webp","","",""
"33","zucchini_egg_stir_fry","西葫芦炒蛋","Zucchini Egg Stir Fry","主控电脑","food-photo-v1","pending","zucchini_egg_stir_fry_v1.webp","recipe-images/v0.1/zucchini_egg_stir_fry_v1.webp","","",""
"34","tomato_white_fish_pan","番茄白鱼锅","Tomato White Fish Pan","同学电脑","food-photo-v1","pending","tomato_white_fish_pan_v1.webp","recipe-images/v0.1/tomato_white_fish_pan_v1.webp","","",""
"35","edamame_corn_tofu","毛豆玉米豆腐","Edamame Corn Tofu","主控电脑","food-photo-v1","pending","edamame_corn_tofu_v1.webp","recipe-images/v0.1/edamame_corn_tofu_v1.webp","","",""
"36","chicken_egg_rice_bowl","鸡蛋鸡胸饭","Chicken Egg Rice Bowl","同学电脑","food-photo-v1","pending","chicken_egg_rice_bowl_v1.webp","recipe-images/v0.1/chicken_egg_rice_bowl_v1.webp","","",""
"37","beef_tomato_rice_bowl","番茄牛肉碎盖饭","Beef Tomato Rice Bowl","主控电脑","food-photo-v1","pending","beef_tomato_rice_bowl_v1.webp","recipe-images/v0.1/beef_tomato_rice_bowl_v1.webp","","",""
"38","tofu_vegetable_rice_bowl","豆腐蔬菜饭","Tofu Vegetable Rice Bowl","同学电脑","food-photo-v1","pending","tofu_vegetable_rice_bowl_v1.webp","recipe-images/v0.1/tofu_vegetable_rice_bowl_v1.webp","","",""
"39","shrimp_corn_fried_rice","虾仁玉米炒饭","Shrimp Corn Fried Rice","主控电脑","food-photo-v1","pending","shrimp_corn_fried_rice_v1.webp","recipe-images/v0.1/shrimp_corn_fried_rice_v1.webp","","",""
"40","tuna_cucumber_rice_bowl","金枪鱼黄瓜饭","Tuna Cucumber Rice Bowl","同学电脑","food-photo-v1","pending","tuna_cucumber_rice_bowl_v1.webp","recipe-images/v0.1/tuna_cucumber_rice_bowl_v1.webp","","",""
"41","mushroom_spinach_noodles","蘑菇菠菜拌面","Mushroom Spinach Noodles","主控电脑","food-photo-v1","pending","mushroom_spinach_noodles_v1.webp","recipe-images/v0.1/mushroom_spinach_noodles_v1.webp","","",""
"42","chicken_broccoli_noodles","鸡胸西兰花炒面","Chicken Broccoli Noodles","同学电脑","food-photo-v1","pending","chicken_broccoli_noodles_v1.webp","recipe-images/v0.1/chicken_broccoli_noodles_v1.webp","","",""
"43","beef_onion_udon","洋葱牛肉乌冬","Beef Onion Udon","主控电脑","food-photo-v1","pending","beef_onion_udon_v1.webp","recipe-images/v0.1/beef_onion_udon_v1.webp","","",""
"44","tomato_egg_noodle_soup","番茄鸡蛋汤面","Tomato Egg Noodle Soup","同学电脑","food-photo-v1","pending","tomato_egg_noodle_soup_v1.webp","recipe-images/v0.1/tomato_egg_noodle_soup_v1.webp","","",""
"45","cabbage_pork_noodles","卷心菜肉片炒面","Cabbage Pork Noodles","主控电脑","food-photo-v1","pending","cabbage_pork_noodles_v1.webp","recipe-images/v0.1/cabbage_pork_noodles_v1.webp","","",""
"46","sesame_tofu_noodle_bowl","芝麻豆腐黄瓜面","Sesame Tofu Cucumber Noodles","同学电脑","food-photo-v1","pending","sesame_tofu_noodle_bowl_v1.webp","recipe-images/v0.1/sesame_tofu_noodle_bowl_v1.webp","","",""
"47","curry_chicken_rice","咖喱鸡肉饭","Curry Chicken Rice","主控电脑","food-photo-v1","pending","curry_chicken_rice_v1.webp","recipe-images/v0.1/curry_chicken_rice_v1.webp","","",""
"48","vegetable_curry_rice","蔬菜咖喱饭","Vegetable Curry Rice","同学电脑","food-photo-v1","pending","vegetable_curry_rice_v1.webp","recipe-images/v0.1/vegetable_curry_rice_v1.webp","","",""
"49","canned_tuna_fried_rice","金枪鱼鸡蛋炒饭","Tuna Egg Fried Rice","主控电脑","food-photo-v1","pending","canned_tuna_fried_rice_v1.webp","recipe-images/v0.1/canned_tuna_fried_rice_v1.webp","","",""
"50","ground_pork_corn_rice_bowl","肉末玉米盖饭","Ground Pork Corn Rice Bowl","同学电脑","food-photo-v1","pending","ground_pork_corn_rice_bowl_v1.webp","recipe-images/v0.1/ground_pork_corn_rice_bowl_v1.webp","","",""
"51","ramen_egg_spinach","菠菜鸡蛋拉面","Spinach Egg Ramen","主控电脑","food-photo-v1","pending","ramen_egg_spinach_v1.webp","recipe-images/v0.1/ramen_egg_spinach_v1.webp","","",""
"52","shrimp_tomato_noodles","番茄虾仁面","Shrimp Tomato Noodles","同学电脑","food-photo-v1","pending","shrimp_tomato_noodles_v1.webp","recipe-images/v0.1/shrimp_tomato_noodles_v1.webp","","",""
"53","chicken_thigh_rice_cooker_pilaf","电饭煲鸡腿蔬菜饭","Rice Cooker Chicken Vegetable Rice","主控电脑","food-photo-v1","pending","chicken_thigh_rice_cooker_pilaf_v1.webp","recipe-images/v0.1/chicken_thigh_rice_cooker_pilaf_v1.webp","","",""
"54","tofu_bok_choy_rice_bowl","小白菜豆腐盖饭","Tofu Bok Choy Rice Bowl","同学电脑","food-photo-v1","pending","tofu_bok_choy_rice_bowl_v1.webp","recipe-images/v0.1/tofu_bok_choy_rice_bowl_v1.webp","","",""
"55","beef_shank_noodle_soup","牛腱汤面","Beef Shank Noodle Soup","主控电脑","food-photo-v1","pending","beef_shank_noodle_soup_v1.webp","recipe-images/v0.1/beef_shank_noodle_soup_v1.webp","","",""
"56","tomato_mushroom_pasta","番茄蘑菇意面","Tomato Mushroom Pasta","同学电脑","food-photo-v1","pending","tomato_mushroom_pasta_v1.webp","recipe-images/v0.1/tomato_mushroom_pasta_v1.webp","","",""
"57","tuna_tomato_pasta","金枪鱼番茄意面","Tuna Tomato Pasta","主控电脑","food-photo-v1","pending","tuna_tomato_pasta_v1.webp","recipe-images/v0.1/tuna_tomato_pasta_v1.webp","","",""
"58","ground_beef_pasta_skillet","牛肉碎意面锅","Ground Beef Pasta Skillet","同学电脑","food-photo-v1","pending","ground_beef_pasta_skillet_v1.webp","recipe-images/v0.1/ground_beef_pasta_skillet_v1.webp","","",""
"59","chicken_broccoli_pasta","鸡胸西兰花意面","Chicken Broccoli Pasta","主控电脑","food-photo-v1","pending","chicken_broccoli_pasta_v1.webp","recipe-images/v0.1/chicken_broccoli_pasta_v1.webp","","",""
"60","spinach_egg_toast","菠菜鸡蛋吐司","Spinach Egg Toast","同学电脑","food-photo-v1","pending","spinach_egg_toast_v1.webp","recipe-images/v0.1/spinach_egg_toast_v1.webp","","",""
"61","peanut_butter_banana_toast","花生酱香蕉吐司","Peanut Butter Banana Toast","主控电脑","food-photo-v1","pending","peanut_butter_banana_toast_v1.webp","recipe-images/v0.1/peanut_butter_banana_toast_v1.webp","","",""
"62","tuna_cucumber_sandwich","金枪鱼黄瓜三明治","Tuna Cucumber Sandwich","同学电脑","food-photo-v1","pending","tuna_cucumber_sandwich_v1.webp","recipe-images/v0.1/tuna_cucumber_sandwich_v1.webp","","",""
"63","egg_tomato_sandwich","鸡蛋番茄三明治","Egg Tomato Sandwich","主控电脑","food-photo-v1","pending","egg_tomato_sandwich_v1.webp","recipe-images/v0.1/egg_tomato_sandwich_v1.webp","","",""
"64","chicken_avocado_wrap","鸡胸牛油果卷饼","Chicken Avocado Wrap","同学电脑","food-photo-v1","pending","chicken_avocado_wrap_v1.webp","recipe-images/v0.1/chicken_avocado_wrap_v1.webp","","",""
"65","black_bean_corn_wrap","黑豆玉米卷饼","Black Bean Corn Wrap","主控电脑","food-photo-v1","pending","black_bean_corn_wrap_v1.webp","recipe-images/v0.1/black_bean_corn_wrap_v1.webp","","",""
"66","chickpea_cucumber_salad_wrap","鹰嘴豆黄瓜卷饼","Chickpea Cucumber Salad Wrap","同学电脑","food-photo-v1","pending","chickpea_cucumber_salad_wrap_v1.webp","recipe-images/v0.1/chickpea_cucumber_salad_wrap_v1.webp","","",""
"67","salmon_potato_plate","三文鱼土豆盘","Salmon Potato Plate","主控电脑","food-photo-v1","pending","salmon_potato_plate_v1.webp","recipe-images/v0.1/salmon_potato_plate_v1.webp","","",""
"68","cod_tomato_pan","番茄鳕鱼锅","Cod Tomato Pan","同学电脑","food-photo-v1","pending","cod_tomato_pan_v1.webp","recipe-images/v0.1/cod_tomato_pan_v1.webp","","",""
"69","turkey_mushroom_pasta","火鸡蘑菇意面","Turkey Mushroom Pasta","主控电脑","food-photo-v1","pending","turkey_mushroom_pasta_v1.webp","recipe-images/v0.1/turkey_mushroom_pasta_v1.webp","","",""
"70","sausage_pepper_tortilla","香肠彩椒卷饼","Sausage Pepper Tortilla","同学电脑","food-photo-v1","pending","sausage_pepper_tortilla_v1.webp","recipe-images/v0.1/sausage_pepper_tortilla_v1.webp","","",""
"71","banana_oat_pancake","香蕉燕麦煎饼","Banana Oat Pancake","主控电脑","food-photo-v1","pending","banana_oat_pancake_v1.webp","recipe-images/v0.1/banana_oat_pancake_v1.webp","","",""
"72","apple_oat_bowl","苹果燕麦碗","Apple Oat Bowl","同学电脑","food-photo-v1","pending","apple_oat_bowl_v1.webp","recipe-images/v0.1/apple_oat_bowl_v1.webp","","",""
"73","berry_granola_bowl","浆果格兰诺拉碗","Berry Granola Bowl","主控电脑","food-photo-v1","pending","berry_granola_bowl_v1.webp","recipe-images/v0.1/berry_granola_bowl_v1.webp","","",""
"74","peanut_butter_apple_oats","花生酱苹果燕麦","Peanut Butter Apple Oats","同学电脑","food-photo-v1","pending","peanut_butter_apple_oats_v1.webp","recipe-images/v0.1/peanut_butter_apple_oats_v1.webp","","",""
"75","sweet_potato_egg_hash","红薯鸡蛋早餐锅","Sweet Potato Egg Hash","主控电脑","food-photo-v1","pending","sweet_potato_egg_hash_v1.webp","recipe-images/v0.1/sweet_potato_egg_hash_v1.webp","","",""
"76","avocado_egg_bread","牛油果鸡蛋面包","Avocado Egg Bread","同学电脑","food-photo-v1","pending","avocado_egg_bread_v1.webp","recipe-images/v0.1/avocado_egg_bread_v1.webp","","",""
"77","mango_oat_smoothie_bowl","芒果燕麦奶昔碗","Mango Oat Smoothie Bowl","主控电脑","food-photo-v1","pending","mango_oat_smoothie_bowl_v1.webp","recipe-images/v0.1/mango_oat_smoothie_bowl_v1.webp","","",""
"78","egg_corn_cucumber_salad","鸡蛋玉米黄瓜沙拉","Egg Corn Cucumber Salad","同学电脑","food-photo-v1","pending","egg_corn_cucumber_salad_v1.webp","recipe-images/v0.1/egg_corn_cucumber_salad_v1.webp","","",""
"79","tuna_apple_salad_bread","金枪鱼苹果沙拉配面包","Tuna Apple Salad Bread","主控电脑","food-photo-v1","pending","tuna_apple_salad_bread_v1.webp","recipe-images/v0.1/tuna_apple_salad_bread_v1.webp","","",""
"80","mixed_nuts_fruit_toast","坚果水果吐司","Mixed Nuts Fruit Toast","同学电脑","food-photo-v1","pending","mixed_nuts_fruit_toast_v1.webp","recipe-images/v0.1/mixed_nuts_fruit_toast_v1.webp","","",""
"81","tomato_tofu_soup","番茄豆腐蛋汤","Tomato Tofu Egg Soup","主控电脑","food-photo-v1","pending","tomato_tofu_soup_v1.webp","recipe-images/v0.1/tomato_tofu_soup_v1.webp","","",""
"82","cabbage_pork_soup","卷心菜肉片汤","Cabbage Pork Soup","同学电脑","food-photo-v1","pending","cabbage_pork_soup_v1.webp","recipe-images/v0.1/cabbage_pork_soup_v1.webp","","",""
"83","chicken_corn_potato_soup","鸡肉玉米土豆汤","Chicken Corn Potato Soup","主控电脑","food-photo-v1","pending","chicken_corn_potato_soup_v1.webp","recipe-images/v0.1/chicken_corn_potato_soup_v1.webp","","",""
"84","chickpea_tomato_stew","鹰嘴豆番茄炖菜","Chickpea Tomato Stew","同学电脑","food-photo-v1","pending","chickpea_tomato_stew_v1.webp","recipe-images/v0.1/chickpea_tomato_stew_v1.webp","","",""
"85","white_fish_tofu_soup","白鱼豆腐汤","White Fish Tofu Soup","主控电脑","food-photo-v1","pending","white_fish_tofu_soup_v1.webp","recipe-images/v0.1/white_fish_tofu_soup_v1.webp","","",""
"86","shrimp_corn_egg_soup","虾仁玉米蛋花汤","Shrimp Corn Egg Soup","同学电脑","food-photo-v1","pending","shrimp_corn_egg_soup_v1.webp","recipe-images/v0.1/shrimp_corn_egg_soup_v1.webp","","",""
"87","beef_potato_carrot_stew","牛腱土豆胡萝卜汤","Beef Potato Carrot Stew","主控电脑","food-photo-v1","pending","beef_potato_carrot_stew_v1.webp","recipe-images/v0.1/beef_potato_carrot_stew_v1.webp","","",""
"88","curry_tofu_vegetable_stew","咖喱豆腐蔬菜煲","Curry Tofu Vegetable Stew","同学电脑","food-photo-v1","pending","curry_tofu_vegetable_stew_v1.webp","recipe-images/v0.1/curry_tofu_vegetable_stew_v1.webp","","",""
"89","pumpkin_chickpea_soup","南瓜鹰嘴豆汤","Pumpkin Chickpea Soup","主控电脑","food-photo-v1","pending","pumpkin_chickpea_soup_v1.webp","recipe-images/v0.1/pumpkin_chickpea_soup_v1.webp","","",""
"90","winter_melon_shrimp_soup","冬瓜虾仁汤","Winter Melon Shrimp Soup","同学电脑","food-photo-v1","pending","winter_melon_shrimp_soup_v1.webp","recipe-images/v0.1/winter_melon_shrimp_soup_v1.webp","","",""
"91","fridge_cleanout_fried_rice","冰箱清理炒饭","Fridge Cleanout Fried Rice","主控电脑","food-photo-v1","pending","fridge_cleanout_fried_rice_v1.webp","recipe-images/v0.1/fridge_cleanout_fried_rice_v1.webp","","",""
"92","frozen_broccoli_chicken_bowl","冷冻西兰花鸡胸饭","Frozen Broccoli Chicken Bowl","同学电脑","food-photo-v1","pending","frozen_broccoli_chicken_bowl_v1.webp","recipe-images/v0.1/frozen_broccoli_chicken_bowl_v1.webp","","",""
"93","canned_tomato_pasta_cleanout","罐头番茄清冰箱意面","Canned Tomato Cleanout Pasta","主控电脑","food-photo-v1","pending","canned_tomato_pasta_cleanout_v1.webp","recipe-images/v0.1/canned_tomato_pasta_cleanout_v1.webp","","",""
"94","frozen_spinach_egg_noodles","冷冻菠菜鸡蛋面","Frozen Spinach Egg Noodles","同学电脑","food-photo-v1","pending","frozen_spinach_egg_noodles_v1.webp","recipe-images/v0.1/frozen_spinach_egg_noodles_v1.webp","","",""
"95","tortilla_breakfast_wrap","冷冻蔬菜鸡蛋卷饼","Frozen Vegetable Egg Breakfast Wrap","主控电脑","food-photo-v1","pending","tortilla_breakfast_wrap_v1.webp","recipe-images/v0.1/tortilla_breakfast_wrap_v1.webp","","",""
"96","canned_black_bean_rice_bowl","黑豆玉米饭碗","Black Bean Corn Rice Bowl","同学电脑","food-photo-v1","pending","canned_black_bean_rice_bowl_v1.webp","recipe-images/v0.1/canned_black_bean_rice_bowl_v1.webp","","",""
"97","tofu_frozen_pea_curry_rice","豆腐冷冻豌豆咖喱饭","Tofu Frozen Pea Curry Rice","主控电脑","food-photo-v1","pending","tofu_frozen_pea_curry_rice_v1.webp","recipe-images/v0.1/tofu_frozen_pea_curry_rice_v1.webp","","",""
"98","one_pot_udon_cleanout","一锅清冰箱乌冬","One Pot Cleanout Udon","同学电脑","food-photo-v1","pending","one_pot_udon_cleanout_v1.webp","recipe-images/v0.1/one_pot_udon_cleanout_v1.webp","","",""
"99","tomato_mushroom_toast","番茄蘑菇烤吐司","Tomato Mushroom Toast","主控电脑","food-photo-v1","pending","tomato_mushroom_toast_v1.webp","recipe-images/v0.1/tomato_mushroom_toast_v1.webp","","",""
"100","microwave_sweet_potato_tuna","微波红薯金枪鱼","Microwave Sweet Potato Tuna","同学电脑","food-photo-v1","pending","microwave_sweet_potato_tuna_v1.webp","recipe-images/v0.1/microwave_sweet_potato_tuna_v1.webp","","",""
"101","onion_egg_stir_fry","洋葱炒蛋","Onion Egg Stir Fry","主控电脑","food-photo-v1","pending","onion_egg_stir_fry_v1.webp","recipe-images/v0.1/onion_egg_stir_fry_v1.webp","","",""
"102","carrot_egg_stir_fry","胡萝卜炒蛋","Carrot Egg Stir Fry","同学电脑","food-photo-v1","pending","carrot_egg_stir_fry_v1.webp","recipe-images/v0.1/carrot_egg_stir_fry_v1.webp","","",""
"103","broccoli_egg_stir_fry","西兰花炒蛋","Broccoli Egg Stir Fry","主控电脑","food-photo-v1","pending","broccoli_egg_stir_fry_v1.webp","recipe-images/v0.1/broccoli_egg_stir_fry_v1.webp","","",""
"104","tomato_cabbage_egg","番茄卷心菜炒蛋","Tomato Cabbage Egg Stir Fry","同学电脑","food-photo-v1","pending","tomato_cabbage_egg_v1.webp","recipe-images/v0.1/tomato_cabbage_egg_v1.webp","","",""
"105","garlic_cauliflower","蒜香花椰菜","Garlic Cauliflower","主控电脑","food-photo-v1","pending","garlic_cauliflower_v1.webp","recipe-images/v0.1/garlic_cauliflower_v1.webp","","",""
"106","mushroom_egg_stir_fry","蘑菇炒蛋","Mushroom Egg Stir Fry","同学电脑","food-photo-v1","pending","mushroom_egg_stir_fry_v1.webp","recipe-images/v0.1/mushroom_egg_stir_fry_v1.webp","","",""
"107","pan_fried_scallion_tofu","葱香煎豆腐","Pan Fried Scallion Tofu","主控电脑","food-photo-v1","pending","pan_fried_scallion_tofu_v1.webp","recipe-images/v0.1/pan_fried_scallion_tofu_v1.webp","","",""
"108","soy_sauce_tofu_rice_bowl","酱油豆腐盖饭","Soy Sauce Tofu Rice Bowl","同学电脑","food-photo-v1","pending","soy_sauce_tofu_rice_bowl_v1.webp","recipe-images/v0.1/soy_sauce_tofu_rice_bowl_v1.webp","","",""
"109","tomato_tofu_rice_bowl","番茄豆腐盖饭","Tomato Tofu Rice Bowl","主控电脑","food-photo-v1","pending","tomato_tofu_rice_bowl_v1.webp","recipe-images/v0.1/tomato_tofu_rice_bowl_v1.webp","","",""
"110","ground_pork_tofu_rice_bowl","肉末豆腐盖饭","Ground Pork Tofu Rice Bowl","同学电脑","food-photo-v1","pending","ground_pork_tofu_rice_bowl_v1.webp","recipe-images/v0.1/ground_pork_tofu_rice_bowl_v1.webp","","",""
"111","ground_beef_potato_stir_fry","牛肉碎炒土豆丁","Ground Beef Potato Stir Fry","主控电脑","food-photo-v1","pending","ground_beef_potato_stir_fry_v1.webp","recipe-images/v0.1/ground_beef_potato_stir_fry_v1.webp","","",""
"112","chicken_thigh_onion_stir_fry","洋葱鸡腿肉","Chicken Thigh Onion Stir Fry","同学电脑","food-photo-v1","pending","chicken_thigh_onion_stir_fry_v1.webp","recipe-images/v0.1/chicken_thigh_onion_stir_fry_v1.webp","","",""
"113","tomato_chicken_breast","番茄鸡胸肉","Tomato Chicken Breast","主控电脑","food-photo-v1","pending","tomato_chicken_breast_v1.webp","recipe-images/v0.1/tomato_chicken_breast_v1.webp","","",""
"114","cucumber_chicken_breast","黄瓜鸡胸肉","Cucumber Chicken Breast Stir Fry","同学电脑","food-photo-v1","pending","cucumber_chicken_breast_v1.webp","recipe-images/v0.1/cucumber_chicken_breast_v1.webp","","",""
"115","bell_pepper_pork_slice","彩椒猪肉片","Bell Pepper Pork Slice","主控电脑","food-photo-v1","pending","bell_pepper_pork_slice_v1.webp","recipe-images/v0.1/bell_pepper_pork_slice_v1.webp","","",""
"116","bell_pepper_beef_slice","彩椒牛肉片","Bell Pepper Beef Slice","同学电脑","food-photo-v1","pending","bell_pepper_beef_slice_v1.webp","recipe-images/v0.1/bell_pepper_beef_slice_v1.webp","","",""
"117","shrimp_cucumber_stir_fry","黄瓜虾仁","Shrimp Cucumber Stir Fry","主控电脑","food-photo-v1","pending","shrimp_cucumber_stir_fry_v1.webp","recipe-images/v0.1/shrimp_cucumber_stir_fry_v1.webp","","",""
"118","shrimp_cabbage_stir_fry","虾仁炒卷心菜","Shrimp Cabbage Stir Fry","同学电脑","food-photo-v1","pending","shrimp_cabbage_stir_fry_v1.webp","recipe-images/v0.1/shrimp_cabbage_stir_fry_v1.webp","","",""
"119","white_fish_tomato_tofu_pan","番茄豆腐白鱼","White Fish Tomato Tofu Pan","主控电脑","food-photo-v1","pending","white_fish_tomato_tofu_pan_v1.webp","recipe-images/v0.1/white_fish_tomato_tofu_pan_v1.webp","","",""
"120","canned_tuna_cabbage_stir_fry","金枪鱼炒卷心菜","Tuna Cabbage Stir Fry","同学电脑","food-photo-v1","pending","canned_tuna_cabbage_stir_fry_v1.webp","recipe-images/v0.1/canned_tuna_cabbage_stir_fry_v1.webp","","",""
"121","bacon_cabbage_stir_fry","培根炒卷心菜","Bacon Cabbage Stir Fry","主控电脑","food-photo-v1","pending","bacon_cabbage_stir_fry_v1.webp","recipe-images/v0.1/bacon_cabbage_stir_fry_v1.webp","","",""
